Timestamp,Download (Mbps),Upload (Mbps)
2024-01-26T14:15:31,468.91,35.55
2024-01-26T14:16:52,447.22,35.2
2024-01-26T14:18:12,444.74,34.54
2024-01-26T14:19:34,344.52,35.54
2024-01-26T14:20:59,436.97,13.69
2024-01-26T14:22:23,304.63,33.95
2024-01-26T14:23:46,354.12,33.2
2024-01-26T14:25:09,432.12,35.2
2024-01-26T14:26:31,378.43,34.91
2024-01-26T14:27:55,316.3,34.67
2024-01-26T14:29:17,407.05,33.67
2024-01-26T14:30:41,336.56,34.94
2024-01-26T14:32:02,421.82,35.47
2024-01-26T14:33:26,285.48,35.41
2024-01-26T14:34:50,308.43,35.61
2024-01-26T14:36:12,357.26,34.94
2024-01-26T14:37:36,151.6,35.07
2024-01-26T14:38:56,513.4,35.77
2024-01-26T14:40:15,480.54,35.71
2024-01-26T14:41:38,372.56,33.76
2024-01-26T14:43:00,392.65,35.94
2024-01-26T14:44:21,420.59,35.31
2024-01-26T14:45:42,426.96,35.19
2024-01-26T14:47:03,383.09,35.15
2024-01-26T14:48:23,490.54,35.35
2024-01-26T14:49:44,455.97,35.47
2024-01-26T14:51:07,321.77,35.6
2024-01-26T14:52:28,436.7,34.94
2024-01-26T14:53:51,342.37,33.8
2024-01-26T14:55:14,368.73,32.5
2024-01-26T14:56:39,323.75,33.76
2024-01-26T14:58:02,337.77,34.45
2024-01-26T14:59:24,418.47,34.11
2024-01-26T15:00:46,382.08,35.67
2024-01-26T15:02:06,435.16,33.6
2024-01-26T15:03:27,425.57,34.63
2024-01-26T15:04:47,414.81,34.67
2024-01-26T15:06:08,455.76,32.95
2024-01-26T15:07:32,297.35,33.37
2024-01-26T15:08:53,416.96,33.24
2024-01-26T15:10:16,358.69,33.81
2024-01-26T15:11:39,355.4,33.38
2024-01-26T15:13:03,288.77,33.49
2024-01-26T15:14:25,365.38,35.49
2024-01-26T15:15:48,400.98,33.04
2024-01-26T15:17:11,359.94,33.03
2024-01-26T15:18:34,382.57,35.15
2024-01-26T15:19:55,436.62,33.88
2024-01-26T15:21:15,489.14,35.35
2024-01-26T15:22:37,415.18,34.81
2024-01-26T15:24:00,355.86,33.31
2024-01-26T15:25:20,482.14,34.39
2024-01-26T15:26:45,307.45,34.09
2024-01-26T15:28:09,250.67,33.6
2024-01-26T15:29:33,221.58,34.79
2024-01-26T15:30:57,326.85,35.03
2024-01-26T15:32:21,218.53,34.22
2024-01-26T15:33:44,353.12,33.89
2024-01-26T15:35:07,363.99,34.2
2024-01-26T15:36:31,307.36,34.29
2024-01-26T15:37:55,294.05,34.63
2024-01-26T15:39:15,462.95,35.8
2024-01-26T15:40:39,308.62,35.23
2024-01-26T15:42:03,323.54,34.73
2024-01-26T15:43:23,419.73,35.37
2024-01-26T15:44:48,219.87,35.4
2024-01-26T15:46:12,305.39,35.18
2024-01-26T15:47:36,301.77,35.01
2024-01-26T15:48:58,435.53,34.72
2024-01-26T15:50:22,352.04,35.22
2024-01-26T15:51:47,324.13,34.43
2024-01-26T15:53:10,303.08,34.03
2024-01-26T15:54:31,433.34,34.75
2024-01-26T15:55:52,424.83,35.28
2024-01-26T15:57:12,498.64,35.1
2024-01-26T15:58:32,419.73,34.79
2024-01-26T15:59:57,321.95,31.6
2024-01-26T16:01:19,383.17,35.32
2024-01-26T16:02:38,511.38,35.7
2024-01-26T16:03:59,423.51,35.56
2024-01-26T16:05:18,500.6,35.62
